Skull,Left,Right
Premaxilla,,
Maxilla,,
Lacrymal,,
Postorbital,,
Squamosal,,
Jugal,,
Quadratojugal,,
Palatine,,
Ectopterygoid,,
Pterygoid,,
Epipterygoid,,
Quadrate,,
Frontal,,
Laterosphenoid,,
Prootic,,
Exoccipital - Opisthotic ,,
Nasal,,
Vomer,,
?Parasphenoid,,
Parietal,,
Basisphenoid,,
Supraoccipital,,
Basioccipital,,
Lower Jaw,Left,Right
Dentary,,
Coronoid,,
Angular,,
Prearticular,,
Articular,,
Surangular,,
Splenial,,
Cervical Vertebrae,Cervical Ribs,
,Left,Right
Atlas,,
Axis,,
CV - 3,L - 3,R - 3
CV - 4,L - 4,R - 4
CV - 5,L - 5,R - 5
CV - 6,L - 6,R - 6
CV - 7,L - 7,R - 7
CV - 8,L - 8,R - 8
CV - 9,L - 9,R - 9
CV - 10,L - 10,R - 10
Dorsal Vertebrae,Dorsal Ribs,
,Left,Right
D - 1,L - 1,R - 1
D - 2,L - 2,R - 2
D - 3,L - 3,R - 3
D - 4,L - 4,R - 4
D - 5,L - 5,R - 5
D - 6,L - 6,R - 6
D - 7,L - 7,R - 7
D - 8,L - 8,R - 8
D - 9,L - 9,R - 9
D - 10,L - 10,R - 10
D - 11,L - 11,R - 11
D - 12,L - 12,R - 12
D - 13,L - 13,R - 13
Sacrum,,
S - 1 - 5,,
Caudal Vertebrae,Chevrons,
CD - 1,CH - 1,
CD - 2,CH - 2,
CD - 3,CH - 3,
CD - 4,CH - 4,
CD - 5,CH - 5,
CD - 6,CH - 6,
CD - 7,CH - 7,
CD - 8,CH - 8,
CD - 9,CH - 9,
CD - 10,CH - 10,
CD - 11,CH - 11,
CD - 12,CH - 12,
CD - 13,CH - 13,
CD - 14,CH - 14,
CD - 15,CH - 15,
CD - 16,CH - 16,
CD - 17,CH - 17,
CD - 18,CH - 18,
CD - 19,CH - 19,
CD - 20,CH - 20,
CD - 21,CH - 21,
CD - 22,CH - 22,
CD - 23,CH - 23,
CD - 24,CH - 24,
CD - 25,CH - 25,
CD - 26,CH - 26,
CD - 27,CH - 27,
CD - 28,CH - 28,
CD - 29,CH - 29,
CD - 30,CH - 30,
CD - 31,CH - 31,
CD - 32,CH - 32,
CD - 33,CH - 33,
CD - 34,CH - 34,
CD - 35,CH - 35,
CD - 36,CH - 36,
CD - 37,CH - 37,
CD - 38,CH - 38,
CD - 39,CH - 39,
CD - 40,CH - 40,
CD - 41,,
CD - 42,,
CD - 43,,
CD - 44,,
CD - 45,,
Pectoral Arch,Left,Right
Furcula,,
Scapula,,
Coracoid,,
Humerus,,
Radius,,
Ulna,,
Carpal,,
Carpal,,
Metacarpals / Phalanges,Left,Right
Manus,L - I,R - I
,L - I - 1,R - I - 1
,L - I - 2,R - I - 2
,L - II,R - II
,L - II - 1,R - II - 1
,L - II - 2,R - II - 2
,L - II - 3,R - II - 3
,L - III,R - III
Pelvic Arch,Left,Right
Ilium,,
Ischium,,
Pubis,,
Femur,,
Tibia,,
Fibula,,
Calcaneum,,
Astragalus,,
Tarsal,,
Tarsal,,
Metatarsals / Phalanges,Left,Right
Pes,L - I,R - I
,L - I - 1,R - I - 1
,L - I - 2,R - I - 2
,L - II,R - II
,L - II - 1,R - II - 1
,L - II - 2,R - II - 2
,L - II - 3,R - II - 3
,L - III,R - III
,L - III - 1,R - III - 1
,L - III - 2,R - III - 2
,L - III - 3,R - III - 3
,L - III - 4,R - III - 4
,L - IV,R - IV
,L - IV - 1,R - IV - 1
,L - IV - 2,R - IV - 2
,L - IV - 3,R - IV - 3
,L - IV - 4,R - IV - 4
,L - IV - 5,R - IV - 5
,L - V,R - V
Non-production,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
